customer_item_name,ship_to_site_name,ship_from_site_name,state,exception_status,sum_Order_Qty,sum_Open_Qty,sum_Order Amount,sum_Open_Order_Amt,need_by_date,email
1000010,1000,1000738,Confirmed,On Time,1,1,255.18,255.18,"Friday, October 4, 2019",dinesh.ganta@jda.com
1000010,1001,1000738,Confirmed,On Time,1,1,255.18,255.18,"Friday, January 10, 2020",jam.adm@jda.com
100008747,1002,1000738,Confirmed,On Time,1,1,98.33,98.33,"Friday, October 4, 2019",adam.jill@jda.com
100009277,1003,1000738,Confirmed,On Time,1,1,1994.67,1994.67,"Tuesday, September 24, 2019",dinesh.venkata@jda.com
100011777,1004,1000738,Confirmed,On Time,1,1,76.6,76.6,"Tuesday, January 7, 2020",shimha.ganta@jda.com
100011786,1005,1000738,Confirmed,On Time,1,1,278.51,278.51,"Monday, February 10, 2020",king.lot@jda.com
1000129,1006,1000738,Confirmed,On Time,1,1,83.46,83.46,"Friday, February 7, 2020",what.even@jda.com
1000129,1007,1000738,Confirmed,Delayed,1,1,83.46,83.46,"Monday, March 2, 2020",dinesh.ganta@jda.com
1000132,1008,1000738,Confirmed,Delayed,1,1,86.55,86.55,"Friday, December 6, 2019",jam.adm@jda.com
100013294,1009,1000738,Confirmed,Delayed,1,1,75.21,75.21,"Tuesday, December 17, 2019",adam.jill@jda.com
100013294,1010,1000738,Confirmed,Delayed,1,1,75.21,75.21,"Thursday, January 23, 2020",dinesh.venkata@jda.com
1000134,1011,1000738,Open,Delayed,1,1,84.95,84.95,"Wednesday, August 7, 2019",shimha.ganta@jda.com
1000147,1012,1000738,Open,Delayed,1,1,100.63,100.63,"Friday, November 29, 2019",king.lot@jda.com
100014773,1013,1000738,Open,Delayed,1,1,8.25,8.25,"Friday, November 29, 2019",what.even@jda.com
100014773,1014,1000738,Open,Delayed,1,1,8.25,8.25,"Monday, December 9, 2019",dinesh.ganta@jda.com
100014773,1015,1000738,Open,Delayed,1,1,8.25,8.25,"Friday, January 10, 2020",jam.adm@jda.com
1000152,1016,1000738,Open,Delayed,1,1,183.53,183.53,"Friday, January 31, 2020",adam.jill@jda.com
100015587,1017,1000738,Open,Delayed,1,1,688.43,688.43,"Tuesday, September 24, 2019",dinesh.venkata@jda.com
100015587,1018,1000738,Open,Delayed,1,1,688.43,688.43,"Friday, January 31, 2020",shimha.ganta@jda.com
100017801,1019,1000738,Open,Delayed,1,1,334.15,334.15,"Friday, February 21, 2020",king.lot@jda.com
100017801,1020,1000738,Open,Delayed,1,1,208.17,208.17,"Wednesday, March 11, 2020",what.even@jda.com
100017802,1021,1000738,Open,Delayed,1,1,1933.2,1933.2,"Friday, January 17, 2020",dinesh.ganta@jda.com
100017802,1022,1000738,Open,Delayed,1,1,1933.2,1933.2,"Friday, January 31, 2020",jam.adm@jda.com
100017925,1023,1000738,Open,Delayed,1,1,7.1,7.1,"Friday, October 11, 2019",adam.jill@jda.com
100017925,1024,1000738,Open,Delayed,1,1,7.1,7.1,"Friday, January 24, 2020",dinesh.venkata@jda.com
100017926,1025,1000738,Open,Delayed,1,1,517.45,517.45,"Monday, December 2, 2019",shimha.ganta@jda.com
100017926,1026,1000738,Open,Delayed,1,1,517.45,517.45,"Tuesday, December 17, 2019",king.lot@jda.com
100017927,1027,1000738,Open,Delayed,1,1,25.1,25.1,"Friday, November 15, 2019",what.even@jda.com
100017927,1028,1000738,Open,Delayed,1,1,25.1,25.1,"Friday, November 29, 2019",dinesh.ganta@jda.com
100017933,1029,1000738,Open,Delayed,1,1,354.85,354.85,"Tuesday, September 24, 2019",jam.adm@jda.com
100017935,1030,1000738,Open,Delayed,1,1,74.1,74.1,"Monday, February 10, 2020",adam.jill@jda.com
100018019,1031,1000738,Open,Delayed,1,1,221.28,221.28,"Tuesday, November 19, 2019",dinesh.venkata@jda.com
