supplier_item_name,ship_to_site_name,ship_from_site_name,state,exception_status,sum_Order_quantity,sum_Order Amount,sum_Open Order Amount,need_by_date,email
1200710,10119636,5300,Closed,On Time,1,0,0,"Monday, December 30, 2019",dinesh.ganta@jda.com
1200710,10157844,5300,Closed,On Time,1,0,0,"Monday, November 11, 2019",jam.adm@jda.com
1200710,10157844,5300,Closed,On Time,1,0,0,"Wednesday, December 11, 2019",adam.jill@jda.com
1200710,10158120,5300,Closed,On Time,1,0,0,"Monday, December 16, 2019",dinesh.venkata@jda.com
1200710,10158120,5300,Closed,On Time,1,0,0,"Monday, January 13, 2020",shimha.ganta@jda.com
1200710,10158120,5300,Closed,On Time,1,0,0,"Wednesday, January 22, 2020",king.lot@jda.com
1200710,10158120,5300,Closed,On Time,1,0,0,"Wednesday, February 5, 2020",what.even@jda.com
1200710,10158351,5300,Closed,On Time,1,0,0,"Monday, November 18, 2019",dinesh.ganta@jda.com
1200710,10158351,5300,Closed,On Time,1,0,0,"Monday, November 25, 2019",jam.adm@jda.com
1200710,10158351,5300,Closed,On Time,1,0,0,"Thursday, December 19, 2019",adam.jill@jda.com
1200710,10158351,5300,Closed,On Time,1,0,0,"Monday, January 6, 2020",dinesh.venkata@jda.com
1200710,10158466,5300,Closed,On Time,1,0,0,"Tuesday, October 15, 2019",shimha.ganta@jda.com
1200710,10158565,5300,Closed,On Time,1,0,0,"Tuesday, February 4, 2020",king.lot@jda.com
1200710,10158588,5300,Closed,On Time,1,0,0,"Monday, December 30, 2019",what.even@jda.com
1200710,10158590,5300,Closed,On Time,1,0,0,"Wednesday, October 9, 2019",dinesh.ganta@jda.com
1200710,10158590,5300,Closed,On Time,1,0,0,"Thursday, January 30, 2020",jam.adm@jda.com
1200710,10158857,5300,Closed,On Time,1,0,0,"Monday, November 25, 2019",adam.jill@jda.com
1200710,10158857,5300,Closed,On Time,1,0,0,"Tuesday, February 4, 2020",dinesh.venkata@jda.com
1200710,10159134,5300,Closed,On Time,1,0,0,"Tuesday, November 12, 2019",shimha.ganta@jda.com
1200710,10159134,5300,Closed,On Time,1,0,0,"Thursday, November 21, 2019",king.lot@jda.com
1200710,10159286,5300,Closed,On Time,1,0,0,"Wednesday, February 5, 2020",what.even@jda.com
1200710,10159415,5300,Closed,On Time,1,0,0,"Monday, February 3, 2020",dinesh.ganta@jda.com
1200710,10159434,5300,Closed,On Time,1,0,0,"Monday, November 11, 2019",jam.adm@jda.com
1200710,10159535,5300,Closed,On Time,1,0,0,"Monday, October 7, 2019",adam.jill@jda.com
1200710,10159535,5300,Closed,On Time,1,0,0,"Tuesday, October 15, 2019",dinesh.venkata@jda.com
1200710,10159697,5300,Closed,On Time,1,0,0,"Thursday, January 30, 2020",shimha.ganta@jda.com
