customer_item_name,ship_to_site_name,ship_from_site_name,state,exception_status,sum_Order_Qty,sum_Open_Qty,sum_Order Amount,sum_Open_Order_Amt,need_by_date,email
211264,10119636,1014,Received,null,1,0,481.76,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
211279,10157844,1015,Received,null,1,0,33.55,0,"Monday, November 4, 2019",jam.adm@jda.com
211343,10157844,1016,Received,null,1,0,43.24,0,"Monday, November 4, 2019",adam.jill@jda.com
211430,10158120,1017,Received,null,1,0,98.47,0,"Monday, November 4, 2019",dinesh.venkata@jda.com
211443,10158120,1018,Received,null,1,0,29.22,0,"Monday, November 4, 2019",shimha.ganta@jda.com
212249,10158120,1019,Received,null,1,0,750.16,0,"Monday, November 4, 2019",king.lot@jda.com
214030,10158120,1020,Received,null,1,0,153.95,0,"Monday, November 4, 2019",what.even@jda.com
217610,10158351,1021,Received,null,1,0,14.78,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
218041,10158351,1022,Received,null,1,0,59.46,0,"Monday, November 4, 2019",jam.adm@jda.com
221341,10158351,1023,Received,null,1,0,61.48,0,"Monday, November 4, 2019",adam.jill@jda.com
222311,10158351,1024,Received,null,1,0,125.82,0,"Monday, November 4, 2019",dinesh.venkata@jda.com
225371,10158466,1025,Received,null,1,0,79.4,0,"Monday, November 4, 2019",shimha.ganta@jda.com
225391,10158565,1026,Received,null,1,0,84.49,0,"Monday, November 4, 2019",king.lot@jda.com
227761,10158588,1027,Received,null,1,0,80.81,0,"Monday, November 4, 2019",what.even@jda.com
229521,10158590,1028,Received,null,1,0,95.98,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
238510,10158590,1029,Received,null,1,0,62,0,"Monday, November 4, 2019",jam.adm@jda.com
241320,10158857,1030,Received,null,1,0,34.77,0,"Monday, November 4, 2019",adam.jill@jda.com
249210,10158857,1031,Received,null,1,0,133.81,0,"Monday, November 4, 2019",dinesh.venkata@jda.com
275300,10159134,1032,Received,null,1,0,526.12,0,"Monday, November 4, 2019",shimha.ganta@jda.com
284920,10159134,1033,Received,null,1,0,35.53,0,"Monday, November 4, 2019",king.lot@jda.com
435225,10159286,1034,Received,null,1,0,70.29,0,"Monday, November 4, 2019",what.even@jda.com
435256,10159415,1035,Received,null,1,0,82.83,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
440474,10159434,1036,Received,null,1,0,366.62,0,"Monday, November 4, 2019",jam.adm@jda.com
4405896,10159535,1037,Received,null,1,0,199.41,0,"Monday, November 4, 2019",adam.jill@jda.com
440963,10159535,1038,Received,null,1,0,1475.77,0,"Monday, November 4, 2019",dinesh.venkata@jda.com
441304,10159697,1039,Received,null,1,0,117.29,0,"Monday, November 4, 2019",shimha.ganta@jda.com
441306,10159750,1040,Received,null,1,0,527.82,0,"Monday, November 4, 2019",king.lot@jda.com
441320,10159750,1050,Received,null,1,0,25.92,0,"Monday, November 4, 2019",what.even@jda.com
441450,10159750,1060,Received,null,1,0,75.5,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
441452,10159750,1070,Received,null,1,0,36.78,0,"Monday, November 4, 2019",jam.adm@jda.com
441459,10160061,1080,Received,null,1,0,305.04,0,"Monday, November 4, 2019",adam.jill@jda.com
441466,10160061,1090,Received,null,1,0,34.68,0,"Monday, November 4, 2019",dinesh.venkata@jda.com
441472,10160061,1100,Received,null,1,0,228.22,0,"Monday, November 4, 2019",shimha.ganta@jda.com
441487,10160136,1110,Received,null,1,0,665.04,0,"Monday, November 4, 2019",king.lot@jda.com
441608,10160275,1120,Received,null,1,0,1130.45,0,"Monday, November 4, 2019",what.even@jda.com
441748,10160352,1130,Received,null,1,0,91.89,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
441980,10160352,1140,Received,null,1,0,78.63,0,"Monday, November 4, 2019",jam.adm@jda.com
441998,10160352,1150,Received,null,1,0,350.18,0,"Monday, November 4, 2019",adam.jill@jda.com
442029,10160352,1160,Received,null,1,0,91.45,0,"Monday, November 4, 2019",dinesh.venkata@jda.com
443181,10160352,1170,Received,null,1,0,17.74,0,"Monday, November 4, 2019",shimha.ganta@jda.com
443182,10160352,1180,Received,null,1,0,71.89,0,"Monday, November 4, 2019",king.lot@jda.com
443233,10160352,1190,Received,null,1,0,778.27,0,"Monday, November 4, 2019",what.even@jda.com
443362,10160352,1200,Received,null,1,0,2950.88,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
443388,10160352,1210,Received,null,1,0,42.67,0,"Monday, November 4, 2019",jam.adm@jda.com
443391,10160352,1220,Received,null,1,0,345.14,0,"Monday, November 4, 2019",adam.jill@jda.com
443393,10160600,1230,Received,null,1,0,881.45,0,"Monday, November 4, 2019",dinesh.venkata@jda.com
443422,10160600,1240,Received,null,1,0,53.44,0,"Monday, November 4, 2019",shimha.ganta@jda.com
443807,10160600,1250,Received,null,1,0,643.08,0,"Monday, November 4, 2019",king.lot@jda.com
443826,10160823,1260,Received,null,1,0,171.6,0,"Monday, November 4, 2019",what.even@jda.com
445727,10160934,1270,Received,null,1,0,309.89,0,"Monday, November 4, 2019",dinesh.ganta@jda.com
445870,10160961,1280,Received,null,1,0,36936.94,0,"Monday, November 4, 2019",jam.adm@jda.com
